interval_time_s
11
1
2
2
3
2
10
2
2
2
36
6
13
9
7
16
4
3
2
18
1
5
21
21
31
0
15
6
28
4
2
27
1
3
14
5
2
4
10
8
4
1
2
4
3
1
4
5
8
2
31
6
2
24
10
18
3
4
6
